count(DISTINCT u.ofstate),state,toUpper(h.hastagname)
29,"[""South Dakota"", ""Nebraska"", ""North Carolina"", ""Missouri"", ""Florida"", ""Idaho"", ""Texas"", ""Louisiana"", ""Michigan"", ""Wisconsin"", ""Tennessee"", ""Nevada"", ""Oregon"", ""New Mexico"", ""New York"", ""Mississippi"", ""New Jersey"", ""Pennsylvania"", ""South Carolina"", ""Virginia"", ""West Virginia"", ""Maine"", ""Indiana"", ""Hawaii"", ""Rhode Island"", ""Delaware"", ""New Hampshire"", ""Illinois"", ""Ohio""]","""GOPDEBATE"""
27,"[""Florida"", ""Wisconsin"", ""New Hampshire"", ""Texas"", ""Massachusetts"", ""West Virginia"", ""South Dakota"", ""North Carolina"", ""Missouri"", ""South Carolina"", ""Nebraska"", ""Rhode Island"", ""Maine"", ""Idaho"", ""Illinois"", ""Arizona"", ""Nevada"", ""Louisiana"", ""Michigan"", ""Mississippi"", ""Virginia"", ""New York"", ""Pennsylvania"", ""New Jersey"", ""Tennessee"", ""Delaware"", ""California""]","""DEMDEBATE"""
26,"[""Tennessee"", ""South Dakota"", ""Michigan"", ""Idaho"", ""Florida"", ""Wisconsin"", ""Nebraska"", ""Illinois"", ""Pennsylvania"", ""Missouri"", ""Oregon"", ""Louisiana"", ""Indiana"", ""Mississippi"", ""North Carolina"", ""West Virginia"", ""Washington"", ""Rhode Island"", ""Virginia"", ""Connecticut"", ""Massachusetts"", ""Hawaii"", ""California"", ""Delaware"", ""Iowa"", ""Colorado""]","""SOTU"""
25,"[""Ohio"", ""Wisconsin"", ""Michigan"", ""North Carolina"", ""Nebraska"", ""Colorado"", ""Tennessee"", ""Missouri"", ""Texas"", ""California"", ""Alabama"", ""Florida"", ""West Virginia"", ""Oklahoma"", ""Alaska"", ""Iowa"", ""Wyoming"", ""Louisiana"", ""New Hampshire"", ""Delaware"", ""Nevada"", ""Massachusetts"", ""Arizona"", ""New Mexico"", ""South Carolina""]","""SCOTUS"""
23,"[""Colorado"", ""Utah"", ""California"", ""Kentucky"", ""Minnesota"", ""Missouri"", ""Nevada"", ""Florida"", ""New York"", ""Tennessee"", ""Nebraska"", ""West Virginia"", ""Idaho"", ""Hawaii"", ""Pennsylvania"", ""Indiana"", ""Louisiana"", ""North Carolina"", ""Wisconsin"", ""Texas"", ""Ohio"", ""Maryland"", ""Arizona""]","""MLKDAY"""
21,"[""Oregon"", ""Virginia"", ""Vermont"", ""Texas"", ""Tennessee"", ""Missouri"", ""Maine"", ""Michigan"", ""Idaho"", ""Alaska"", ""North Carolina"", ""Arizona"", ""Nebraska"", ""Louisiana"", ""Utah"", ""Ohio"", ""Mississippi"", ""Wisconsin"", ""West Virginia"", ""Florida"", ""Alabama""]","""SUPERTUESDAY"""
21,"[""Colorado"", ""Rhode Island"", ""New York"", ""Maine"", ""Mississippi"", ""New Mexico"", ""Missouri"", ""South Carolina"", ""Indiana"", ""Michigan"", ""Arizona"", ""Nebraska"", ""Georgia"", ""Iowa"", ""South Dakota"", ""Idaho"", ""Louisiana"", ""Washington"", ""Texas"", ""Hawaii"", ""Tennessee""]","""GOP"""
18,"[""Nevada"", ""Tennessee"", ""Wisconsin"", ""West Virginia"", ""Michigan"", ""Florida"", ""Nebraska"", ""Alaska"", ""North Carolina"", ""Wyoming"", ""Washington"", ""Kentucky"", ""Minnesota"", ""Colorado"", ""New Hampshire"", ""Illinois"", ""Louisiana"", ""Iowa""]","""TBT"""
18,"[""New Jersey"", ""Michigan"", ""Florida"", ""North Carolina"", ""Colorado"", ""Pennsylvania"", ""Louisiana"", ""Virginia"", ""Nevada"", ""Wisconsin"", ""Nebraska"", ""Indiana"", ""Oregon"", ""Alaska"", ""West Virginia"", ""Massachusetts"", ""South Dakota"", ""Maryland""]","""EQUALPAYDAY"""
17,"[""Georgia"", ""Michigan"", ""Kentucky"", ""Mississippi"", ""Tennessee"", ""North Carolina"", ""Vermont"", ""Hawaii"", ""Idaho"", ""Indiana"", ""Wisconsin"", ""Arizona"", ""Virginia"", ""Illinois"", ""Iowa"", ""New Jersey"", ""California""]","""BREAKING"""